link,Loại hình nhà ở,Số phòng ngủ,Hướng nhà,Giá(tỷ đồng),Giá/m²(triệu đồng),Diện tích,Vị trí,Ngày
https://www.nhatot.com/mua-ban-dat-quan-bac-tu-liem-ha-noi/125369580.htm,Đất thổ cư,0,Chưa xác định,8.2,137.0,60.0,Bắc Từ Liêm,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/126350977.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",3,Chưa xác định,7.5,197.0,38.0,Long Biên,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-dan-phuong-ha-noi/126241712.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",5,Đông Nam,4.8,160.0,30.0,Đan Phượng,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/126310058.htm,"Nhà ngõ, hẻm",4,Chưa xác định,8.4,280.0,30.0,Tây Hồ,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/125979605.htm,"Nhà ngõ, hẻm",3,Chưa xác định,5.2,149.0,35.0,Long Biên,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124226982.htm,Nhà phố liền kề,5,Chưa xác định,20.0,233.0,86.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124058519.htm,Nhà phố liền kề,4,Chưa xác định,27.0,241.0,112.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/126350798.htm,"Nhà ngõ, hẻm",4,Chưa xác định,6.64,221.0,30.0,Hoàng Mai,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/126350795.htm,Chung cư,2,Chưa xác định,3.5,50.0,70.0,Gia Lâm,2025-07-14
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/126329842.htm#px=SR-special_display_ad-[PO-1][PL-default],Đất thổ cư,0,Chưa xác định,1.4,40.0,35.0,Thanh Trì,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/122894219.htm,Chung cư,2,Chưa xác định,2.95,49.0,60.0,Gia Lâm,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/123367563.htm,Chung cư,1,Chưa xác định,1.75,56.0,31.0,Gia Lâm,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/115512682.htm,Chung cư,1,Chưa xác định,2.45,52.0,47.0,Gia Lâm,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/123538143.htm,Chung cư,3,Chưa xác định,3.85,48.0,80.0,Gia Lâm,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/123262960.htm,Chung cư,2,Chưa xác định,3.5,50.0,70.0,Gia Lâm,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/126259344.htm#px=SR-stickyad-[PO-1][PL-top],"Căn hộ dịch vụ, mini",2,Chưa xác định,2.55,36.0,70.0,Đống Đa,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/126334959.htm#px=SR-stickyad-[PO-1][PL-top],"Nhà ngõ, hẻm",3,Chưa xác định,6.65,185.0,36.0,Hoàng Mai,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/126200730.htm#px=SR-stickyad-[PO-1][PL-top],"Tập thể, cư xá",1,Chưa xác định,2.98,54.0,55.0,Cầu Giấy,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/126296320.htm#px=SR-stickyad-[PO-1][PL-top],"Nhà ngõ, hẻm",2,Chưa xác định,1.68,65.0,26.0,Hoàng Mai,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-me-linh-ha-noi/126350711.htm,Nhà biệt thự,4,Chưa xác định,30.0,85.0,352.0,Mê Linh,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-thanh-tri-ha-noi/126350702.htm,"Nhà ngõ, hẻm",3,Chưa xác định,4.75,144.0,33.0,Thanh Trì,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/126350699.htm,"Nhà mặt phố, mặt tiền",10,Chưa xác định,15.8,316.0,50.0,Hai Bà Trưng,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124085722.htm,"Nhà ngõ, hẻm",5,Tây Nam,4.8,133.0,36.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/126007801.htm,"Nhà ngõ, hẻm",4,Nam,16.3,272.0,60.0,Long Biên,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/126329787.htm,Chung cư,2,Chưa xác định,2.5,36.0,69.0,Hoàng Mai,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/126350535.htm,Chung cư,2,Chưa xác định,6.3,73.0,87.0,Thanh Xuân,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/126350511.htm,Chung cư,2,Chưa xác định,3.0,50.0,60.0,Gia Lâm,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-chuong-my-ha-noi/124845962.htm,"Nhà ngõ, hẻm",5,Chưa xác định,3.1,61.0,51.0,Chương Mỹ,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/124866209.htm,"Nhà ngõ, hẻm",3,Chưa xác định,8.39,240.0,35.0,Hoàng Mai,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/126093399.htm,"Nhà ngõ, hẻm",6,Đông,11.9,216.0,55.0,Thanh Xuân,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/125441262.htm,"Nhà ngõ, hẻm",4,Chưa xác định,11.2,160.0,70.0,Thanh Xuân,2025-07-14
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/126350411.htm#px=SR-special_display_ad-[PO-1][PL-default],Đất thổ cư,0,Chưa xác định,15.0,30.0,500.0,Sóc Sơn,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/123999621.htm,Chung cư,2,Đông Nam,0.95,17.0,55.0,Hoàng Mai,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/122927251.htm,Chung cư,2,Đông Nam,0.9,16.0,55.0,Nam Từ Liêm,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/111701070.htm,Chung cư,2,Tây,0.95,17.0,55.0,Đống Đa,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/125007334.htm,Chung cư,2,Đông Nam,1.0,18.0,55.0,Ba Đình,2025-07-14
https://www.nhatot.com/mua-ban-dat-huyen-gia-lam-ha-noi/126350333.htm,Đất thổ cư,0,Chưa xác định,5.9,94.0,63.0,Gia Lâm,2025-07-14
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/126350287.htm,Đất nền dự án,0,Chưa xác định,10.5,210.0,50.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/126350284.htm,"Nhà ngõ, hẻm",4,Chưa xác định,10.8,251.0,43.0,Thanh Xuân,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-dong-anh-ha-noi/126350258.htm,"Nhà ngõ, hẻm",3,Tây Nam,4.8,92.0,52.0,Đông Anh,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/126350245.htm,"Nhà ngõ, hẻm",6,Chưa xác định,19.6,344.0,57.0,Thanh Xuân,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/126350236.htm,"Nhà ngõ, hẻm",4,Chưa xác định,0.74,21.0,35.0,Cầu Giấy,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/126350198.htm,"Nhà ngõ, hẻm",4,Chưa xác định,8.2,205.0,40.0,Thanh Xuân,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/126172866.htm#px=SR-special_display_ad-[PO-1][PL-default],"Căn hộ dịch vụ, mini",10,Chưa xác định,16.0,291.0,55.0,Ba Đình,2025-07-14
https://www.nhatot.com/mua-ban-dat-quan-hoang-mai-ha-noi/126350160.htm#px=SR-special_display_ad-[PO-1][PL-default],Đất thổ cư,0,Chưa xác định,8.0,110.0,73.0,Hoàng Mai,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/126309185.htm,"Nhà ngõ, hẻm",2,Chưa xác định,9.65,241.0,40.0,Đống Đa,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/126350075.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",4,Chưa xác định,8.3,202.0,41.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/124587170.htm,"Căn hộ dịch vụ, mini",2,Đông Bắc,0.75,16.0,48.0,Cầu Giấy,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/125767970.htm,"Căn hộ dịch vụ, mini",2,Đông,0.75,14.0,55.0,Đống Đa,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-gia-lam-ha-noi/126350004.htm,"Nhà mặt phố, mặt tiền",3,Chưa xác định,3.95,107.0,37.0,Gia Lâm,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/126349948.htm,Chung cư,2,Chưa xác định,6.3,72.0,88.0,Thanh Xuân,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/126349925.htm,"Nhà ngõ, hẻm",3,Chưa xác định,6.8,200.0,34.0,Long Biên,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/126349869.htm,"Nhà mặt phố, mặt tiền",6,Chưa xác định,22.0,333.0,66.0,Đống Đa,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/126010689.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",4,Chưa xác định,8.8,196.0,45.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/125978550.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",3,Chưa xác định,8.55,225.0,38.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/125163557.htm,"Nhà ngõ, hẻm",6,Chưa xác định,7.0,140.0,50.0,Đống Đa,2025-07-14
https://www.nhatot.com/mua-ban-dat-huyen-gia-lam-ha-noi/126082671.htm,Đất thổ cư,0,Chưa xác định,3.12,60.0,52.0,Gia Lâm,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/125545858.htm,"Nhà ngõ, hẻm",3,Bắc,7.5,214.0,35.0,Hoàng Mai,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124822014.htm,"Nhà ngõ, hẻm",3,Chưa xác định,5.35,178.0,30.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124651224.htm,"Nhà ngõ, hẻm",3,Chưa xác định,4.8,150.0,32.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/125503120.htm,"Nhà ngõ, hẻm",3,Chưa xác định,6.0,188.0,32.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-chuong-my-ha-noi/124833950.htm,"Nhà ngõ, hẻm",4,Chưa xác định,3.1,61.0,51.0,Chương Mỹ,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/125423434.htm,"Nhà ngõ, hẻm",7,Bắc,5.15,143.0,36.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/126326286.htm#px=SR-special_display_ad-[PO-1][PL-default],"Tập thể, cư xá",3,Chưa xác định,2.98,58.0,51.0,Hai Bà Trưng,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/125422888.htm,"Nhà ngõ, hẻm",3,Đông Nam,5.45,165.0,33.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/121146459.htm,Đất thổ cư,0,Chưa xác định,5.3,84.0,63.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124513888.htm,"Nhà ngõ, hẻm",5,Tây Nam,4.4,138.0,32.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/126349723.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",4,Chưa xác định,7.0,200.0,35.0,Nam Từ Liêm,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124498494.htm,"Nhà ngõ, hẻm",3,Chưa xác định,4.7,152.0,31.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/126349716.htm,Nhà biệt thự,5,Chưa xác định,21.0,344.0,61.0,Đống Đa,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124222235.htm,"Nhà ngõ, hẻm",5,Chưa xác định,4.25,125.0,34.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/125796021.htm,"Nhà ngõ, hẻm",4,Đông Nam,10.0,217.0,46.0,Thanh Xuân,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/126308947.htm,"Nhà ngõ, hẻm",2,Chưa xác định,6.7,203.0,33.0,Thanh Xuân,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/126349647.htm,"Nhà ngõ, hẻm",4,Chưa xác định,8.0,200.0,40.0,Cầu Giấy,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/126329050.htm,Nhà phố liền kề,3,Chưa xác định,10.65,355.0,30.0,Hoàng Mai,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/123249330.htm,Chung cư,2,Chưa xác định,2.73,46.0,60.0,Gia Lâm,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/122894576.htm,Chung cư,1,Chưa xác định,2.4,51.0,47.0,Gia Lâm,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/125774798.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",4,Đông Nam,13.5,250.0,54.0,Đống Đa,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/126349591.htm,"Nhà ngõ, hẻm",3,Chưa xác định,8.3,237.0,35.0,Ba Đình,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/126349559.htm,Nhà biệt thự,4,Chưa xác định,79.0,343.0,230.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-hoai-duc-ha-noi/126349472.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",3,Chưa xác định,4.0,133.0,30.0,Hoài Đức,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/126349469.htm,"Nhà ngõ, hẻm",4,Chưa xác định,15.0,313.0,48.0,Tây Hồ,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/126349446.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",4,Chưa xác định,7.8,260.0,30.0,Tây Hồ,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/126349413.htm,"Nhà ngõ, hẻm",3,Chưa xác định,5.3,189.0,28.0,Hai Bà Trưng,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/126349406.htm,"Nhà ngõ, hẻm",4,Chưa xác định,13.3,242.0,55.0,Thanh Xuân,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/126349385.htm,Duplex,3,Chưa xác định,5.0,56.0,90.0,Ba Đình,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/126302016.htm,"Nhà ngõ, hẻm",3,Chưa xác định,4.5,107.0,42.0,Hoàng Mai,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-bac-tu-liem-ha-noi/126349311.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",4,Chưa xác định,6.0,150.0,40.0,Bắc Từ Liêm,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/126349285.htm,"Nhà ngõ, hẻm",3,Chưa xác định,7.0,184.0,38.0,Cầu Giấy,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/125347969.htm,"Nhà ngõ, hẻm",3,Chưa xác định,8.0,200.0,40.0,Cầu Giấy,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/125251390.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",4,Chưa xác định,5.75,144.0,40.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/121492073.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",3,Chưa xác định,5.8,145.0,40.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/122193599.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",3,Chưa xác định,5.8,153.0,38.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/125480832.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",2,Chưa xác định,6.75,178.0,38.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124666298.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",4,Chưa xác định,5.4,135.0,40.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-thanh-tri-ha-noi/126308342.htm,"Nhà ngõ, hẻm",3,Chưa xác định,5.9,142.0,42.0,Thanh Trì,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/125843951.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",4,Bắc,8.05,218.0,37.0,Long Biên,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/126349072.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",4,Chưa xác định,8.35,209.0,40.0,Hà Đông,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/126349046.htm,"Nhà ngõ, hẻm",2,Chưa xác định,6.85,201.0,34.0,Ba Đình,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/126349003.htm,"Nhà ngõ, hẻm",3,Chưa xác định,7.7,257.0,30.0,Tây Hồ,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/124675398.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",6,Chưa xác định,17.5,287.0,61.0,Cầu Giấy,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/124687241.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",10,Chưa xác định,72.0,409.0,176.0,Cầu Giấy,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/124724519.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",7,Chưa xác định,13.9,228.0,61.0,Cầu Giấy,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-bac-tu-liem-ha-noi/124907474.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",5,Chưa xác định,25.8,246.0,105.0,Bắc Từ Liêm,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/126328476.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",4,Tây Nam,16.5,384.0,43.0,Thanh Xuân,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-bac-tu-liem-ha-noi/126348918.htm#px=SR-special_display_ad-[PO-1][PL-default],Nhà phố liền kề,9,Đông Bắc,20.0,308.0,65.0,Bắc Từ Liêm,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-hoai-duc-ha-noi/126348897.htm,"Nhà ngõ, hẻm",4,Bắc,6.35,141.0,45.0,Hoài Đức,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/125436426.htm,"Nhà ngõ, hẻm",4,Chưa xác định,9.0,214.0,42.0,Ba Đình,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/125093175.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",10,Chưa xác định,16.0,246.0,65.0,Đống Đa,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/125371081.htm,"Nhà ngõ, hẻm",3,Chưa xác định,8.3,237.0,35.0,Thanh Xuân,2025-07-14
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/126285290.htm,Đất thổ cư,0,Chưa xác định,3.55,38.0,94.0,Phú Xuyên,2025-07-14
https://www.nhatot.com/mua-ban-dat-huyen-chuong-my-ha-noi/126348478.htm,Đất thổ cư,0,Chưa xác định,1.83,20.0,93.0,Chương Mỹ,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/126348435.htm,Chung cư,2,Chưa xác định,6.3,72.0,88.0,Thanh Xuân,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/126348382.htm,"Nhà mặt phố, mặt tiền",3,Chưa xác định,6.3,170.0,37.0,Hoàng Mai,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/126312029.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà mặt phố, mặt tiền",4,Chưa xác định,13.95,279.0,50.0,Đống Đa,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/126348073.htm,"Nhà ngõ, hẻm",3,Chưa xác định,7.85,187.0,42.0,Đống Đa,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/126348021.htm,"Nhà ngõ, hẻm",3,Chưa xác định,7.4,211.0,35.0,Nam Từ Liêm,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/126347998.htm,"Căn hộ dịch vụ, mini",10,Chưa xác định,23.9,299.0,80.0,Cầu Giấy,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/126327672.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",4,Đông,16.7,204.0,82.0,Ba Đình,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/126347943.htm,"Tập thể, cư xá",2,Chưa xác định,2.38,48.0,50.0,Thanh Xuân,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/126347923.htm,"Tập thể, cư xá",3,Chưa xác định,5.28,48.0,110.0,Hai Bà Trưng,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-bac-tu-liem-ha-noi/126054817.htm,"Nhà ngõ, hẻm",4,Chưa xác định,4.45,135.0,33.0,Bắc Từ Liêm,2025-07-14
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/126284624.htm#px=SR-special_display_ad-[PO-1][PL-default],Đất thổ cư,0,Chưa xác định,3.8,46.0,83.0,Đông Anh,2025-07-14
