url,property_type,total_price,price_per_m2,area,location,date
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/125979605.htm,"3 PN • Nhà ngõ, hẻm","5,2 tỷ",149 tr/m²,35 m²,Quận Long Biên • 10 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124226982.htm,5 PN • Nhà phố liền kề,20 tỷ,233 tr/m²,86 m²,Quận Hà Đông • 11 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124058519.htm,4 PN • Nhà phố liền kề,27 tỷ,241 tr/m²,112 m²,Quận Hà Đông • 11 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/126350798.htm,"4 PN • Nhà ngõ, hẻm","6,64 tỷ",221 tr/m²,30 m²,Quận Hoàng Mai • 14 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/126350795.htm,2 PN • Chung cư,"3,5 tỷ",50 tr/m²,70 m²,Huyện Gia Lâm • 14 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/126329842.htm#px=SR-special_display_ad-[PO-1][PL-default],Đất thổ cư,"1,4 tỷ",40 tr/m²,35 m²,Huyện Thanh Trì • 14 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/122894219.htm,2 PN • Chung cư,"2,95 tỷ",49 tr/m²,60 m²,Huyện Gia Lâm • 15 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/123367563.htm,1 PN • Chung cư,"1,75 tỷ",56 tr/m²,31 m²,Huyện Gia Lâm • 15 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/115512682.htm,1 PN • Chung cư,"2,45 tỷ",52 tr/m²,47 m²,Huyện Gia Lâm • 15 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/123538143.htm,3 PN • Chung cư,"3,85 tỷ",48 tr/m²,80 m²,Huyện Gia Lâm • 15 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/123262960.htm,2 PN • Chung cư,"3,5 tỷ",50 tr/m²,70 m²,Huyện Gia Lâm • 15 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/126259344.htm#px=SR-stickyad-[PO-1][PL-top],"2 PN • Căn hộ dịch vụ, mini","2,55 tỷ",36 tr/m²,70 m²,Quận Đống Đa • 2 giờ trước • Tin ưu tiên,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/126334959.htm#px=SR-stickyad-[PO-1][PL-top],"3 PN • Nhà ngõ, hẻm","6,65 tỷ",185 tr/m²,36 m²,Quận Hoàng Mai • 20 giờ trước • Tin ưu tiên,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/126231924.htm#px=SR-stickyad-[PO-1][PL-top],2 PN • Chung cư,"5,05 tỷ",66 tr/m²,77 m²,Huyện Gia Lâm • 5 giờ trước • Tin ưu tiên,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/126200730.htm#px=SR-stickyad-[PO-1][PL-top],"1 PN • Tập thể, cư xá","2,98 tỷ",54 tr/m²,55 m²,Quận Cầu Giấy • 7 ngày trước • Tin ưu tiên,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/126296320.htm#px=SR-stickyad-[PO-1][PL-top],"2 PN • Nhà ngõ, hẻm","1,68 tỷ",65 tr/m²,26 m²,Quận Hoàng Mai • 7 giờ trước • Tin ưu tiên,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-me-linh-ha-noi/126350711.htm,4 PN • Nhà biệt thự,30 tỷ,85 tr/m²,352 m²,Huyện Mê Linh • 17 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-thanh-tri-ha-noi/126350702.htm,"3 PN • Nhà ngõ, hẻm","4,75 tỷ",144 tr/m²,33 m²,Huyện Thanh Trì • 18 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/126350699.htm,"10 PN • Nhà mặt phố, mặt tiền","15,8 tỷ",316 tr/m²,50 m²,Quận Hai Bà Trưng • 18 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124085722.htm,"5 PN • Hướng Tây Nam • Nhà ngõ, hẻm","4,8 tỷ",133 tr/m²,36 m²,Quận Hà Đông • 18 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/126007801.htm,"4 PN • Hướng Nam • Nhà ngõ, hẻm","16,3 tỷ",272 tr/m²,60 m²,Quận Long Biên • 18 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/126329787.htm,2 PN • Chung cư,"2,5 tỷ",36 tr/m²,69 m²,Quận Hoàng Mai • 20 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/126350535.htm,2 PN • Chung cư,"6,3 tỷ",73 tr/m²,87 m²,Quận Thanh Xuân • 22 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/126350511.htm,2 PN • Chung cư,3 tỷ,50 tr/m²,60 m²,Huyện Gia Lâm • 23 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-chuong-my-ha-noi/124845962.htm,"5 PN • Nhà ngõ, hẻm","3,1 tỷ",61 tr/m²,51 m²,Huyện Chương Mỹ • 24 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/124866209.htm,"3 PN • Nhà ngõ, hẻm","8,39 tỷ",240 tr/m²,35 m²,Quận Hoàng Mai • 25 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/126093399.htm,"6 PN • Hướng Đông • Nhà ngõ, hẻm","11,9 tỷ",216 tr/m²,55 m²,Quận Thanh Xuân • 25 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/125441262.htm,"4 PN • Nhà ngõ, hẻm","11,2 tỷ",160 tr/m²,70 m²,Quận Thanh Xuân • 25 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/126350411.htm#px=SR-special_display_ad-[PO-1][PL-default],Đất thổ cư • Ngang 20 m,15 tỷ,30 tr/m²,500 m²,Huyện Sóc Sơn • 27 phút trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/123999621.htm,2 PN • Hướng Đông Nam • Chung cư,950 triệu,17 tr/m²,55 m²,Quận Hoàng Mai • 27 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/122927251.htm,2 PN • Hướng Đông Nam • Chung cư,900 triệu,16 tr/m²,55 m²,Quận Nam Từ Liêm • 27 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/111701070.htm,2 PN • Hướng Tây • Chung cư,950 triệu,17 tr/m²,55 m²,Quận Đống Đa • 27 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/125007334.htm,2 PN • Hướng Đông Nam • Chung cư,1 tỷ,18 tr/m²,55 m²,Quận Ba Đình • 27 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-dat-huyen-gia-lam-ha-noi/126350333.htm,Đất thổ cư,"5,9 tỷ",94 tr/m²,63 m²,Huyện Gia Lâm • 29 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/126350287.htm,Đất nền dự án • Ngang 4 m,"10,5 tỷ",210 tr/m²,50 m²,Quận Hà Đông • 31 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/126350284.htm,"4 PN • Nhà ngõ, hẻm","10,8 tỷ",251 tr/m²,43 m²,Quận Thanh Xuân • 31 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-dong-anh-ha-noi/126350258.htm,"3 PN • Hướng Tây Nam • Nhà ngõ, hẻm","4,8 tỷ",92 tr/m²,52 m²,Huyện Đông Anh • 32 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/126350245.htm,"6 PN • Nhà ngõ, hẻm","19,6 tỷ",344 tr/m²,57 m²,Quận Thanh Xuân • 32 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/126350236.htm,"4 PN • Nhà ngõ, hẻm",740 triệu,21 tr/m²,35 m²,Quận Cầu Giấy • 33 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/126350198.htm,"4 PN • Nhà ngõ, hẻm","8,2 tỷ",205 tr/m²,40 m²,Quận Thanh Xuân • 34 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/126172866.htm#px=SR-special_display_ad-[PO-1][PL-default],"nhiều hơn 10 PN • Căn hộ dịch vụ, mini",16 tỷ,291 tr/m²,55 m²,Quận Ba Đình • 35 phút trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-dat-quan-hoang-mai-ha-noi/126350160.htm#px=SR-special_display_ad-[PO-1][PL-default],Đất thổ cư • Ngang 5.2 m,8 tỷ,110 tr/m²,73 m²,Quận Hoàng Mai • 35 phút trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/126309185.htm,"2 PN • Nhà ngõ, hẻm","9,65 tỷ",241 tr/m²,40 m²,Quận Đống Đa • 36 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/126350075.htm#px=SR-special_display_ad-[PO-1][PL-default],"4 PN • Nhà ngõ, hẻm","8,3 tỷ",202 tr/m²,41 m²,Quận Hà Đông • 38 phút trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/124587170.htm,"2 PN • Hướng Đông Bắc • Căn hộ dịch vụ, mini",750 triệu,16 tr/m²,48 m²,Quận Cầu Giấy • 40 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/125767970.htm,"2 PN • Hướng Đông • Căn hộ dịch vụ, mini",750 triệu,14 tr/m²,55 m²,Quận Đống Đa • 40 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-gia-lam-ha-noi/126350004.htm,"3 PN • Nhà mặt phố, mặt tiền","3,95 tỷ",107 tr/m²,37 m²,Huyện Gia Lâm • 41 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/126349948.htm,2 PN • Chung cư,"6,3 tỷ",72 tr/m²,88 m²,Quận Thanh Xuân • 43 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/126349925.htm,"3 PN • Nhà ngõ, hẻm","6,8 tỷ",200 tr/m²,34 m²,Quận Long Biên • 44 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/126349869.htm,"6 PN • Nhà mặt phố, mặt tiền",22 tỷ,333 tr/m²,66 m²,Quận Đống Đa • 46 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/126010689.htm#px=SR-special_display_ad-[PO-1][PL-default],"4 PN • Nhà ngõ, hẻm","8,8 tỷ",196 tr/m²,45 m²,Quận Hà Đông • 47 phút trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/125978550.htm#px=SR-special_display_ad-[PO-1][PL-default],"3 PN • Nhà ngõ, hẻm","8,55 tỷ",225 tr/m²,38 m²,Quận Hà Đông • 48 phút trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/125163557.htm,"6 PN • Nhà ngõ, hẻm",7 tỷ,140 tr/m²,50 m²,Quận Đống Đa • 48 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-dat-huyen-gia-lam-ha-noi/126082671.htm,Đất thổ cư • Ngang 5 m,"3,12 tỷ",60 tr/m²,52 m²,Huyện Gia Lâm • 48 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/125545858.htm,"3 PN • Hướng Bắc • Nhà ngõ, hẻm","7,5 tỷ",214 tr/m²,35 m²,Quận Hoàng Mai • 48 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124822014.htm,"3 PN • Nhà ngõ, hẻm","5,35 tỷ",178 tr/m²,30 m²,Quận Hà Đông • 48 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124651224.htm,"3 PN • Nhà ngõ, hẻm","4,8 tỷ",150 tr/m²,32 m²,Quận Hà Đông • 49 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/125503120.htm,"3 PN • Nhà ngõ, hẻm",6 tỷ,188 tr/m²,32 m²,Quận Hà Đông • 49 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-chuong-my-ha-noi/124833950.htm,"4 PN • Nhà ngõ, hẻm","3,1 tỷ",61 tr/m²,51 m²,Huyện Chương Mỹ • 49 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/125423434.htm,"7 PN • Hướng Bắc • Nhà ngõ, hẻm","5,15 tỷ",143 tr/m²,36 m²,Quận Hà Đông • 49 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/126326286.htm#px=SR-special_display_ad-[PO-1][PL-default],"3 PN • Tập thể, cư xá","2,98 tỷ",58 tr/m²,51 m²,Quận Hai Bà Trưng • 50 phút trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/125422888.htm,"3 PN • Hướng Đông Nam • Nhà ngõ, hẻm","5,45 tỷ",165 tr/m²,33 m²,Quận Hà Đông • 50 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/121146459.htm,Đất thổ cư,"5,3 tỷ",84 tr/m²,63 m²,Quận Hà Đông • 50 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124513888.htm,"5 PN • Hướng Tây Nam • Nhà ngõ, hẻm","4,4 tỷ",138 tr/m²,32 m²,Quận Hà Đông • 50 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/126349723.htm#px=SR-special_display_ad-[PO-1][PL-default],"4 PN • Nhà ngõ, hẻm",7 tỷ,200 tr/m²,35 m²,Quận Nam Từ Liêm • 50 phút trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124498494.htm,"3 PN • Nhà ngõ, hẻm","4,7 tỷ",152 tr/m²,31 m²,Quận Hà Đông • 50 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/126349716.htm,5 PN • Nhà biệt thự,21 tỷ,344 tr/m²,61 m²,Quận Đống Đa • 50 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124222235.htm,"5 PN • Nhà ngõ, hẻm","4,25 tỷ",125 tr/m²,34 m²,Quận Hà Đông • 50 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/125796021.htm,"4 PN • Hướng Đông Nam • Nhà ngõ, hẻm",10 tỷ,217 tr/m²,46 m²,Quận Thanh Xuân • 51 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/126308947.htm,"2 PN • Nhà ngõ, hẻm","6,7 tỷ",203 tr/m²,33 m²,Quận Thanh Xuân • 51 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/126349647.htm,"4 PN • Nhà ngõ, hẻm",8 tỷ,200 tr/m²,40 m²,Quận Cầu Giấy • 53 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/126329050.htm,3 PN • Nhà phố liền kề,"10,65 tỷ",355 tr/m²,30 m²,Quận Hoàng Mai • 53 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/123249330.htm,2 PN • Chung cư,"2,73 tỷ",46 tr/m²,60 m²,Huyện Gia Lâm • 54 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/122894576.htm,1 PN • Chung cư,"2,4 tỷ",51 tr/m²,47 m²,Huyện Gia Lâm • 54 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/125774798.htm#px=SR-special_display_ad-[PO-1][PL-default],"4 PN • Hướng Đông Nam • Nhà ngõ, hẻm","13,5 tỷ",250 tr/m²,54 m²,Quận Đống Đa • 54 phút trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/126349591.htm,"3 PN • Nhà ngõ, hẻm","8,3 tỷ",237 tr/m²,35 m²,Quận Ba Đình • 55 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/126349559.htm,4 PN • Nhà biệt thự,79 tỷ,343 tr/m²,230 m²,Quận Hà Đông • 56 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-hoai-duc-ha-noi/126349472.htm#px=SR-special_display_ad-[PO-1][PL-default],"3 PN • Nhà ngõ, hẻm",4 tỷ,133 tr/m²,30 m²,Huyện Hoài Đức • 59 phút trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/126349469.htm,"4 PN • Nhà ngõ, hẻm",15 tỷ,313 tr/m²,48 m²,Quận Tây Hồ • 59 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/126349446.htm#px=SR-special_display_ad-[PO-1][PL-default],"4 PN • Nhà ngõ, hẻm","7,8 tỷ",260 tr/m²,30 m²,Quận Tây Hồ • 60 phút trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/126349413.htm,"3 PN • Nhà ngõ, hẻm","5,3 tỷ",189 tr/m²,28 m²,Quận Hai Bà Trưng • 1 giờ trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/126349406.htm,"4 PN • Nhà ngõ, hẻm","13,3 tỷ",242 tr/m²,55 m²,Quận Thanh Xuân • 1 giờ trước,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/126349385.htm,3 PN • Duplex,5 tỷ,56 tr/m²,90 m²,Quận Ba Đình • 1 giờ trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/126302016.htm,"3 PN • Nhà ngõ, hẻm","4,5 tỷ",107 tr/m²,42 m²,Quận Hoàng Mai • 1 giờ trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-bac-tu-liem-ha-noi/126349311.htm#px=SR-special_display_ad-[PO-1][PL-default],"4 PN • Nhà ngõ, hẻm",6 tỷ,150 tr/m²,40 m²,Quận Bắc Từ Liêm • 1 giờ trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/126349285.htm,"3 PN • Nhà ngõ, hẻm",7 tỷ,184 tr/m²,38 m²,Quận Cầu Giấy • 1 giờ trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/125347969.htm,"3 PN • Nhà ngõ, hẻm",8 tỷ,200 tr/m²,40 m²,Quận Cầu Giấy • 1 giờ trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/125251390.htm#px=SR-special_display_ad-[PO-1][PL-default],"4 PN • Nhà ngõ, hẻm","5,75 tỷ",144 tr/m²,40 m²,Quận Hà Đông • 1 giờ trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/121492073.htm#px=SR-special_display_ad-[PO-1][PL-default],"3 PN • Nhà ngõ, hẻm","5,8 tỷ",145 tr/m²,40 m²,Quận Hà Đông • 1 giờ trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/122193599.htm#px=SR-special_display_ad-[PO-1][PL-default],"3 PN • Nhà ngõ, hẻm","5,8 tỷ",153 tr/m²,38 m²,Quận Hà Đông • 1 giờ trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/125480832.htm#px=SR-special_display_ad-[PO-1][PL-default],"2 PN • Nhà ngõ, hẻm","6,75 tỷ",178 tr/m²,38 m²,Quận Hà Đông • 1 giờ trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/124666298.htm#px=SR-special_display_ad-[PO-1][PL-default],"4 PN • Nhà ngõ, hẻm","5,4 tỷ",135 tr/m²,40 m²,Quận Hà Đông • 1 giờ trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-thanh-tri-ha-noi/126308342.htm,"3 PN • Nhà ngõ, hẻm","5,9 tỷ",142 tr/m²,42 m²,Huyện Thanh Trì • 1 giờ trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/125843951.htm#px=SR-special_display_ad-[PO-1][PL-default],"4 PN • Hướng Bắc • Nhà ngõ, hẻm","8,05 tỷ",218 tr/m²,37 m²,Quận Long Biên • 1 giờ trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/126349072.htm#px=SR-special_display_ad-[PO-1][PL-default],"4 PN • Nhà ngõ, hẻm","8,35 tỷ",209 tr/m²,40 m²,Quận Hà Đông • 1 giờ trước • Tin nổi bật,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/126349046.htm,"2 PN • Nhà ngõ, hẻm","6,85 tỷ",201 tr/m²,34 m²,Quận Ba Đình • 1 giờ trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/126349003.htm,"3 PN • Nhà ngõ, hẻm","7,7 tỷ",257 tr/m²,30 m²,Quận Tây Hồ • 1 giờ trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/124675398.htm#px=SR-special_display_ad-[PO-1][PL-default],"6 PN • Nhà ngõ, hẻm","17,5 tỷ",287 tr/m²,61 m²,Quận Cầu Giấy • 1 giờ trước • Tin nổi bật,2025-07-14
